timestamp,speed,acceleration,longitudinal_accel,lateral_accel,longitudinal_jerk,lateral_jerk,lead_detected,lead_distance,target_speed
1773666217.679532,8.1464,0.0434,0.0323,-0.0091,0.1625,-0.0591,False,nan,8.0000
1773666217.776491,7.9140,0.1932,0.0509,0.0014,0.1913,0.1080,False,nan,8.0000
1773666217.877140,8.2486,0.0431,0.0614,0.0049,0.1047,0.0351,False,nan,8.0000
1773666217.977191,8.0336,0.0439,0.0467,0.0013,-0.1467,-0.0363,False,nan,8.0000
1773666218.078942,8.0755,-0.0325,0.0408,0.0001,-0.0577,-0.0113,False,nan,8.0000
1773666218.177311,8.1322,-0.1286,0.0143,0.0086,-0.2696,0.0857,False,nan,8.0000
1773666218.276287,8.0555,0.0214,0.0131,0.0165,-0.0127,0.0797,False,nan,8.0000
1773666218.376873,8.0835,-0.0253,0.0081,0.0005,-0.0493,-0.1584,False,nan,8.0000
1773666218.476398,8.0434,0.0092,0.0057,0.0265,-0.0244,0.2614,False,nan,8.0000
1773666218.576946,8.0322,0.0266,0.0135,0.0267,0.0781,0.0012,False,nan,8.0000
1773666218.676378,8.1212,0.0264,0.0202,0.0225,0.0674,-0.0416,False,nan,8.0000
1773666218.776755,7.8804,0.1766,0.0358,0.0200,0.1555,-0.0246,False,nan,8.0000
1773666218.877066,8.1762,0.1027,0.0279,0.0178,-0.0788,-0.0223,False,nan,8.0000
1773666218.977339,8.1585,-0.1235,0.0168,0.0082,-0.1115,-0.0954,False,nan,8.0000
1773666219.077534,7.8839,-0.0169,-0.0072,0.0047,-0.2388,-0.0355,False,nan,8.0000
1773666219.182682,8.0051,-0.0181,-0.0268,0.0047,-0.1864,0.0004,False,nan,8.0000
1773666219.276628,8.1504,-0.0957,-0.0220,0.0071,0.0509,0.0249,False,nan,8.0000
1773666219.376985,8.0720,-0.0964,-0.0161,-0.0011,0.0586,-0.0818,False,nan,8.0000
1773666219.476681,8.1002,-0.1075,-0.0366,-0.0037,-0.2055,-0.0261,False,nan,8.0000
1773666219.576613,8.0282,0.0351,-0.0471,-0.0009,-0.1049,0.0286,False,nan,8.0000
1773666219.676381,8.0064,0.0566,-0.0473,-0.0090,-0.0021,-0.0810,False,nan,8.0000
1773666219.776284,8.1057,-0.0930,-0.0435,-0.0062,0.0376,0.0278,False,nan,8.0000
1773666219.876743,8.0949,-0.0946,-0.0410,0.0037,0.0249,0.0984,False,nan,8.0000
1773666219.976310,8.0264,0.0002,-0.0625,0.0046,-0.2154,0.0086,False,nan,8.0000
1773666220.077157,7.9602,0.1319,-0.0312,0.0101,0.3099,0.0552,False,nan,8.0000
1773666220.176516,7.9445,0.1316,0.0080,0.0073,0.3950,-0.0284,False,nan,8.0000
1773666220.278456,8.2304,-0.0185,0.0216,-0.0027,0.1327,-0.0978,False,nan,8.0000
1773666220.378825,8.1303,-0.0239,0.0297,0.0061,0.0812,0.0875,False,nan,8.0000
1773666220.476624,7.9256,0.1266,0.0244,-0.0051,-0.0546,-0.1148,False,nan,8.0000
1773666220.584698,7.9929,0.0742,0.0267,-0.0001,0.0212,0.0461,False,nan,8.0000
1773666220.687696,8.1718,-0.0757,0.0196,0.0106,-0.0689,0.1038,False,nan,8.0000
1773666220.776498,8.1485,-0.1636,-0.0068,0.0040,-0.2965,-0.0740,False,nan,8.0000
1773666220.880196,7.9393,-0.0750,-0.0180,0.0082,-0.1080,0.0402,False,nan,8.0000
1773666220.976523,7.9388,0.0750,-0.0153,0.0076,0.0280,-0.0055,False,nan,8.0000
1773666221.077631,7.9430,0.0757,-0.0064,0.0063,0.0875,-0.0132,False,nan,8.0000
1773666221.176479,7.9268,0.0763,0.0015,0.0160,0.0799,0.0981,False,nan,8.0000
1773666221.276402,8.0187,-0.0193,-0.0064,0.0135,-0.0784,-0.0254,True,19.3521,8.0000
1773666221.385871,8.1136,-0.1692,-0.0225,0.0186,-0.1471,0.0472,True,19.4057,8.0000
1773666221.487594,7.8821,-0.2053,-0.0554,0.0097,-0.3243,-0.0883,True,18.8245,7.9768
1773666221.583248,7.9856,-0.2057,-0.0640,0.0058,-0.0894,-0.0407,True,18.8899,7.9832
1773666221.689997,8.1096,-0.0531,-0.0738,0.0123,-0.0917,0.0615,False,nan,8.0000
1773666221.781866,7.8564,-0.0365,-0.0714,0.0210,0.0256,0.0940,True,18.3896,7.9751
1773666221.876893,7.9753,0.0771,-0.0515,0.0200,0.2095,-0.0101,True,19.2156,8.0000
1773666221.976722,7.9795,0.0790,-0.0003,0.0196,0.5133,-0.0047,False,nan,8.0000
1773666222.086402,7.8821,-0.0711,-0.0082,0.0249,-0.0722,0.0486,True,17.6811,7.9500
1773666222.176684,7.9685,-0.0450,-0.0268,0.0255,-0.2067,0.0073,True,19.6822,7.9999
1773666222.281254,8.0521,-0.0129,-0.0280,0.0166,-0.0113,-0.0855,True,17.3708,8.0000
1773666222.379822,7.9694,-0.1188,-0.0208,0.0204,0.0734,0.0388,False,nan,7.9647
1773666222.477308,8.0207,-0.2016,-0.0347,0.0091,-0.1428,-0.1162,True,17.0825,7.9381
1773666222.577000,8.0319,-0.1994,-0.0708,0.0048,-0.3625,-0.0433,True,16.9582,7.9196
1773666222.677845,8.0762,-0.0503,-0.0820,0.0068,-0.1101,0.0201,True,18.9935,7.9693
1773666222.777020,7.8811,-0.1173,-0.0874,0.0031,-0.0548,-0.0379,True,16.4676,7.9191
1773666222.876850,7.9498,-0.2668,-0.1135,0.0072,-0.2615,0.0414,True,16.5133,7.8693
1773666222.976697,7.7950,-0.3926,-0.1419,0.0066,-0.2840,-0.0056,True,16.1201,7.8193
1773666223.086842,7.8415,-0.5425,-0.1783,-0.0003,-0.3311,-0.0627,True,16.5302,7.7693
1773666223.177084,7.7607,-0.4627,-0.2337,0.0045,-0.6132,0.0529,True,15.7423,7.7480
1773666223.279768,7.9120,-0.4780,-0.2730,0.0082,-0.3831,0.0362,True,15.8461,7.7265
1773666223.380247,7.7759,-0.4030,-0.2826,0.0042,-0.0952,-0.0397,True,15.8811,7.7042
1773666223.480679,7.5295,-0.4359,-0.3218,0.0048,-0.3903,0.0055,True,15.4613,7.6292
1773666223.576464,7.7479,-0.3611,-0.3317,0.0151,-0.1035,0.1077,True,16.1551,7.6083
